teff,logg,mh,alpha,node
3500,0,-2.5,0,9711
3500,0,-2,0,9235
3500,0,-1.5,0,8759
3500,0,-1,0,8283
3500,0,-0.5,0,7807
3500,0,0,0,10187
3500,0,0.2,0,10663
3500,0,0.5,0,11139
3500,0.5,-2.5,0,9712
3500,0.5,-2,0,9236
3500,0.5,-1.5,0,8760
3500,0.5,-1,0,8284
3500,0.5,-0.5,0,7808
3500,0.5,0,0,10188
3500,0.5,0.2,0,10664
3500,0.5,0.5,0,11140
3500,1,-2.5,0,9713
3500,1,-2,0,9237
3500,1,-1.5,0,8761
3500,1,-1,0,8285
3500,1,-0.5,0,7809
3500,1,0,0,10189
3500,1,0.2,0,10665
3500,1,0.5,0,11141
3500,1.5,-2.5,0,9714
3500,1.5,-2,0,9238
3500,1.5,-1.5,0,8762
3500,1.5,-1,0,8286
3500,1.5,-0.5,0,7810
3500,1.5,0,0,10190
3500,1.5,0.2,0,10666
3500,1.5,0.5,0,11142
3500,2,-2.5,0,9715
3500,2,-2,0,9239
3500,2,-1.5,0,8763
3500,2,-1,0,8287
3500,2,-0.5,0,7811
3500,2,0,0,10191
3500,2,0.2,0,10667
3500,2,0.5,0,11143
3500,2.5,-2.5,0,9716
3500,2.5,-2,0,9240
3500,2.5,-1.5,0,8764
3500,2.5,-1,0,8288
3500,2.5,-0.5,0,7812
3500,2.5,0,0,10192
3500,2.5,0.2,0,10668
3500,2.5,0.5,0,11144
3500,3,-2.5,0,9717
3500,3,-2,0,9241
3500,3,-1.5,0,8765
3500,3,-1,0,8289
3500,3,-0.5,0,7813
3500,3,0,0,10193
3500,3,0.2,0,10669
3500,3,0.5,0,11145
3500,3.5,-2.5,0,9718
3500,3.5,-2,0,9242
3500,3.5,-1.5,0,8766
3500,3.5,-1,0,8290
3500,3.5,-0.5,0,7814
3500,3.5,0,0,10194
3500,3.5,0.2,0,10670
3500,3.5,0.5,0,11146
3500,4,-2.5,0,9719
3500,4,-2,0,9243
3500,4,-1.5,0,8767
3500,4,-1,0,8291
3500,4,-0.5,0,7815
3500,4,0,0,10195
3500,4,0.2,0,10671
3500,4,0.5,0,11147
3500,4.5,-2.5,0,9720
3500,4.5,-2,0,9244
3500,4.5,-1.5,0,8768
3500,4.5,-1,0,8292
3500,4.5,-0.5,0,7816
3500,4.5,0,0,10196
3500,4.5,0.2,0,10672
3500,4.5,0.5,0,11148
3500,5,-2.5,0,9721
3500,5,-2,0,9245
3500,5,-1.5,0,8769
3500,5,-1,0,8293
3500,5,-0.5,0,7817
3500,5,0,0,10197
3500,5,0.2,0,10673
3500,5,0.5,0,11149
3750,0,-2.5,0,9728
3750,0,-2,0,9252
3750,0,-1.5,0,8776
3750,0,-1,0,8300
3750,0,-0.5,0,7824
3750,0,0,0,10204
3750,0,0.2,0,10680
3750,0,0.5,0,11156
3750,0.5,-2.5,0,9729
3750,0.5,-2,0,9253
3750,0.5,-1.5,0,8777
3750,0.5,-1,0,8301
3750,0.5,-0.5,0,7825
3750,0.5,0,0,10205
3750,0.5,0.2,0,10681
3750,0.5,0.5,0,11157
3750,1,-2.5,0,9730
3750,1,-2,0,9254
3750,1,-1.5,0,8778
3750,1,-1,0,8302
3750,1,-0.5,0,7826
3750,1,0,0,10206
3750,1,0.2,0,10682
3750,1,0.5,0,11158
3750,1.5,-2.5,0,9731
3750,1.5,-2,0,9255
3750,1.5,-1.5,0,8779
3750,1.5,-1,0,8303
3750,1.5,-0.5,0,7827
3750,1.5,0,0,10207
3750,1.5,0.2,0,10683
3750,1.5,0.5,0,11159
3750,2,-2.5,0,9732
3750,2,-2,0,9256
3750,2,-1.5,0,8780
3750,2,-1,0,8304
3750,2,-0.5,0,7828
3750,2,0,0,10208
3750,2,0.2,0,10684
3750,2,0.5,0,11160
3750,2.5,-2.5,0,9733
3750,2.5,-2,0,9257
3750,2.5,-1.5,0,8781
3750,2.5,-1,0,8305
3750,2.5,-0.5,0,7829
3750,2.5,0,0,10209
3750,2.5,0.2,0,10685
3750,2.5,0.5,0,11161
3750,3,-2.5,0,9734
3750,3,-2,0,9258
3750,3,-1.5,0,8782
3750,3,-1,0,8306
3750,3,-0.5,0,7830
3750,3,0,0,10210
3750,3,0.2,0,10686
3750,3,0.5,0,11162
3750,3.5,-2.5,0,9735
3750,3.5,-2,0,9259
3750,3.5,-1.5,0,8783
3750,3.5,-1,0,8307
3750,3.5,-0.5,0,7831
3750,3.5,0,0,10211
3750,3.5,0.2,0,10687
3750,3.5,0.5,0,11163
3750,4,-2.5,0,9736
3750,4,-2,0,9260
3750,4,-1.5,0,8784
3750,4,-1,0,8308
3750,4,-0.5,0,7832
3750,4,0,0,10212
3750,4,0.2,0,10688
3750,4,0.5,0,11164
3750,4.5,-2.5,0,9737
3750,4.5,-2,0,9261
3750,4.5,-1.5,0,8785
3750,4.5,-1,0,8309
3750,4.5,-0.5,0,7833
3750,4.5,0,0,10213
3750,4.5,0.2,0,10689
3750,4.5,0.5,0,11165
3750,5,-2.5,0,9738
3750,5,-2,0,9262
3750,5,-1.5,0,8786
3750,5,-1,0,8310
3750,5,-0.5,0,7834
3750,5,0,0,10214
3750,5,0.2,0,10690
3750,5,0.5,0,11166
4000,0,-2.5,0,9747
4000,0,-2,0,9271
4000,0,-1.5,0,8795
4000,0,-1,0,8319
4000,0,-0.5,0,7843
4000,0,0,0,10223
4000,0,0.2,0,10699
4000,0,0.5,0,11175
4000,0.5,-2.5,0,9748
4000,0.5,-2,0,9272
4000,0.5,-1.5,0,8796
4000,0.5,-1,0,8320
4000,0.5,-0.5,0,7844
4000,0.5,0,0,10224
4000,0.5,0.2,0,10700
4000,0.5,0.5,0,11176
4000,1,-2.5,0,9749
4000,1,-2,0,9273
4000,1,-1.5,0,8797
4000,1,-1,0,8321
4000,1,-0.5,0,7845
4000,1,0,0,10225
4000,1,0.2,0,10701
4000,1,0.5,0,11177
4000,1.5,-2.5,0,9750
4000,1.5,-2,0,9274
4000,1.5,-1.5,0,8798
4000,1.5,-1,0,8322
4000,1.5,-0.5,0,7846
4000,1.5,0,0,10226
4000,1.5,0.2,0,10702
4000,1.5,0.5,0,11178
4000,2,-2.5,0,9751
4000,2,-2,0,9275
4000,2,-1.5,0,8799
4000,2,-1,0,8323
4000,2,-0.5,0,7847
4000,2,0,0,10227
4000,2,0.2,0,10703
4000,2,0.5,0,11179
4000,2.5,-2.5,0,9752
4000,2.5,-2,0,9276
4000,2.5,-1.5,0,8800
4000,2.5,-1,0,8324
4000,2.5,-0.5,0,7848
4000,2.5,0,0,10228
4000,2.5,0.2,0,10704
4000,2.5,0.5,0,11180
4000,3,-2.5,0,9753
4000,3,-2,0,9277
4000,3,-1.5,0,8801
4000,3,-1,0,8325
4000,3,-0.5,0,7849
4000,3,0,0,10229
4000,3,0.2,0,10705
4000,3,0.5,0,11181
4000,3.5,-2.5,0,9754
4000,3.5,-2,0,9278
4000,3.5,-1.5,0,8802
4000,3.5,-1,0,8326
4000,3.5,-0.5,0,7850
4000,3.5,0,0,10230
4000,3.5,0.2,0,10706
4000,3.5,0.5,0,11182
4000,4,-2.5,0,9755
4000,4,-2,0,9279
4000,4,-1.5,0,8803
4000,4,-1,0,8327
4000,4,-0.5,0,7851
4000,4,0,0,10231
4000,4,0.2,0,10707
4000,4,0.5,0,11183
4000,4.5,-2.5,0,9756
4000,4.5,-2,0,9280
4000,4.5,-1.5,0,8804
4000,4.5,-1,0,8328
4000,4.5,-0.5,0,7852
4000,4.5,0,0,10232
4000,4.5,0.2,0,10708
4000,4.5,0.5,0,11184
4000,5,-2.5,0,9757
4000,5,-2,0,9281
4000,5,-1.5,0,8805
4000,5,-1,0,8329
4000,5,-0.5,0,7853
4000,5,0,0,10233
4000,5,0.2,0,10709
4000,5,0.5,0,11185
4250,0,-2.5,0,9762
4250,0,-2,0,9286
4250,0,-1.5,0,8810
4250,0,-1,0,8334
4250,0,-0.5,0,7858
4250,0,0,0,10238
4250,0,0.2,0,10714
4250,0,0.5,0,11190
4250,0.5,-2.5,0,9763
4250,0.5,-2,0,9287
4250,0.5,-1.5,0,8811
4250,0.5,-1,0,8335
4250,0.5,-0.5,0,7859
4250,0.5,0,0,10239
4250,0.5,0.2,0,10715
4250,0.5,0.5,0,11191
4250,1,-2.5,0,9764
4250,1,-2,0,9288
4250,1,-1.5,0,8812
4250,1,-1,0,8336
4250,1,-0.5,0,7860
4250,1,0,0,10240
4250,1,0.2,0,10716
4250,1,0.5,0,11192
4250,1.5,-2.5,0,9765
4250,1.5,-2,0,9289
4250,1.5,-1.5,0,8813
4250,1.5,-1,0,8337
4250,1.5,-0.5,0,7861
4250,1.5,0,0,10241
4250,1.5,0.2,0,10717
4250,1.5,0.5,0,11193
4250,2,-2.5,0,9766
4250,2,-2,0,9290
4250,2,-1.5,0,8814
4250,2,-1,0,8338
4250,2,-0.5,0,7862
4250,2,0,0,10242
4250,2,0.2,0,10718
4250,2,0.5,0,11194
4250,2.5,-2.5,0,9767
4250,2.5,-2,0,9291
4250,2.5,-1.5,0,8815
4250,2.5,-1,0,8339
4250,2.5,-0.5,0,7863
4250,2.5,0,0,10243
4250,2.5,0.2,0,10719
4250,2.5,0.5,0,11195
4250,3,-2.5,0,9768
4250,3,-2,0,9292
4250,3,-1.5,0,8816
4250,3,-1,0,8340
4250,3,-0.5,0,7864
4250,3,0,0,10244
4250,3,0.2,0,10720
4250,3,0.5,0,11196
4250,3.5,-2.5,0,9769
4250,3.5,-2,0,9293
4250,3.5,-1.5,0,8817
4250,3.5,-1,0,8341
4250,3.5,-0.5,0,7865
4250,3.5,0,0,10245
4250,3.5,0.2,0,10721
4250,3.5,0.5,0,11197
4250,4,-2.5,0,9770
4250,4,-2,0,9294
4250,4,-1.5,0,8818
4250,4,-1,0,8342
4250,4,-0.5,0,7866
4250,4,0,0,10246
4250,4,0.2,0,10722
4250,4,0.5,0,11198
4250,4.5,-2.5,0,9771
4250,4.5,-2,0,9295
4250,4.5,-1.5,0,8819
4250,4.5,-1,0,8343
4250,4.5,-0.5,0,7867
4250,4.5,0,0,10247
4250,4.5,0.2,0,10723
4250,4.5,0.5,0,11199
4250,5,-2.5,0,9772
4250,5,-2,0,9296
4250,5,-1.5,0,8820
4250,5,-1,0,8344
4250,5,-0.5,0,7868
4250,5,0,0,10248
4250,5,0.2,0,10724
4250,5,0.5,0,11200
4500,0,-2.5,0,9779
4500,0,-2,0,9303
4500,0,-1.5,0,8827
4500,0,-1,0,8351
4500,0,-0.5,0,7875
4500,0,0,0,10255
4500,0,0.2,0,10731
4500,0,0.5,0,11207
4500,0.5,-2.5,0,9780
4500,0.5,-2,0,9304
4500,0.5,-1.5,0,8828
4500,0.5,-1,0,8352
4500,0.5,-0.5,0,7876
4500,0.5,0,0,10256
4500,0.5,0.2,0,10732
4500,0.5,0.5,0,11208
4500,1,-2.5,0,9781
4500,1,-2,0,9305
4500,1,-1.5,0,8829
4500,1,-1,0,8353
4500,1,-0.5,0,7877
4500,1,0,0,10257
4500,1,0.2,0,10733
4500,1,0.5,0,11209
4500,1.5,-2.5,0,9782
4500,1.5,-2,0,9306
4500,1.5,-1.5,0,8830
4500,1.5,-1,0,8354
4500,1.5,-0.5,0,7878
4500,1.5,0,0,10258
4500,1.5,0.2,0,10734
4500,1.5,0.5,0,11210
4500,2,-2.5,0,9783
4500,2,-2,0,9307
4500,2,-1.5,0,8831
4500,2,-1,0,8355
4500,2,-0.5,0,7879
4500,2,0,0,10259
4500,2,0.2,0,10735
4500,2,0.5,0,11211
4500,2.5,-2.5,0,9784
4500,2.5,-2,0,9308
4500,2.5,-1.5,0,8832
4500,2.5,-1,0,8356
4500,2.5,-0.5,0,7880
4500,2.5,0,0,10260
4500,2.5,0.2,0,10736
4500,2.5,0.5,0,11212
4500,3,-2.5,0,9785
4500,3,-2,0,9309
4500,3,-1.5,0,8833
4500,3,-1,0,8357
4500,3,-0.5,0,7881
4500,3,0,0,10261
4500,3,0.2,0,10737
4500,3,0.5,0,11213
4500,3.5,-2.5,0,9786
4500,3.5,-2,0,9310
4500,3.5,-1.5,0,8834
4500,3.5,-1,0,8358
4500,3.5,-0.5,0,7882
4500,3.5,0,0,10262
4500,3.5,0.2,0,10738
4500,3.5,0.5,0,11214
4500,4,-2.5,0,9787
4500,4,-2,0,9311
4500,4,-1.5,0,8835
4500,4,-1,0,8359
4500,4,-0.5,0,7883
4500,4,0,0,10263
4500,4,0.2,0,10739
4500,4,0.5,0,11215
4500,4.5,-2.5,0,9788
4500,4.5,-2,0,9312
4500,4.5,-1.5,0,8836
4500,4.5,-1,0,8360
4500,4.5,-0.5,0,7884
4500,4.5,0,0,10264
4500,4.5,0.2,0,10740
4500,4.5,0.5,0,11216
4500,5,-2.5,0,9789
4500,5,-2,0,9313
4500,5,-1.5,0,8837
4500,5,-1,0,8361
4500,5,-0.5,0,7885
4500,5,0,0,10265
4500,5,0.2,0,10741
4500,5,0.5,0,11217
4750,0,-2.5,0,9794
4750,0,-2,0,9318
4750,0,-1.5,0,8842
4750,0,-1,0,8366
4750,0,-0.5,0,7890
4750,0,0,0,10270
4750,0,0.2,0,10746
4750,0,0.5,0,11222
4750,0.5,-2.5,0,9795
4750,0.5,-2,0,9319
4750,0.5,-1.5,0,8843
4750,0.5,-1,0,8367
4750,0.5,-0.5,0,7891
4750,0.5,0,0,10271
4750,0.5,0.2,0,10747
4750,0.5,0.5,0,11223
4750,1,-2.5,0,9796
4750,1,-2,0,9320
4750,1,-1.5,0,8844
4750,1,-1,0,8368
4750,1,-0.5,0,7892
4750,1,0,0,10272
4750,1,0.2,0,10748
4750,1,0.5,0,11224
4750,1.5,-2.5,0,9797
4750,1.5,-2,0,9321
4750,1.5,-1.5,0,8845
4750,1.5,-1,0,8369
4750,1.5,-0.5,0,7893
4750,1.5,0,0,10273
4750,1.5,0.2,0,10749
4750,1.5,0.5,0,11225
4750,2,-2.5,0,9798
4750,2,-2,0,9322
4750,2,-1.5,0,8846
4750,2,-1,0,8370
4750,2,-0.5,0,7894
4750,2,0,0,10274
4750,2,0.2,0,10750
4750,2,0.5,0,11226
4750,2.5,-2.5,0,9799
4750,2.5,-2,0,9323
4750,2.5,-1.5,0,8847
4750,2.5,-1,0,8371
4750,2.5,-0.5,0,7895
4750,2.5,0,0,10275
4750,2.5,0.2,0,10751
