teff,logg,mh,alpha,node
400,3.5,0,0,13632
400,4,0,0,13633
400,4.5,0,0,13634
400,5,0,0,13635
500,3.5,0,0,13636
500,4,0,0,13637
500,4.5,0,0,13638
500,5,0,0,13639
600,3.5,0,0,13640
600,4,0,0,13641
600,4.5,0,0,13642
600,5,0,0,13643
600,5.5,0,0,13644
700,3.5,0,0,13645
700,4,0,0,13646
700,4.5,0,0,13647
700,5,0,0,13648
800,3.5,0,0,13649
800,4,0,0,13650
800,4.5,0,0,13651
800,5,0,0,13652
800,5.5,0,0,13653
900,3.5,0,0,13654
900,4,0,0,13655
900,4.5,0,0,13656
900,5,0,0,13657
900,5.5,0,0,13658
1000,4,0,0,13659
1000,4.5,0,0,13660
1000,5,0,0,13661
1000,5.5,0,0,13662
1100,3.5,0,0,13663
1100,4,0,0,13664
1100,4.5,0,0,13665
1100,5,0,0,13666
1100,5.5,0,0,13667
1200,3.5,0,0,13668
1200,4,0,0,13669
1200,4.5,0,0,13670
1200,5,0,0,13671
1200,5.5,0,0,13672
1300,3.5,0,0,13673
1300,4,0,0,13674
1300,4.5,0,0,13675
1300,5,0,0,13676
1300,5.5,0,0,13677
1400,3.5,0,0,13678
1400,4,0,0,13679
1400,4.5,0,0,13680
1400,5,0,0,13681
1400,5.5,0,0,13682
1500,3.5,0,0,13683
1500,4,0,0,13684
1500,4.5,0,0,13685
1500,5,0,0,13686
1500,5.5,0,0,13687
1600,3.5,0,0,13688
1600,4,0,0,13689
1600,4.5,0,0,13690
1600,5,0,0,13691
1600,5.5,0,0,13692
1700,3.5,0,0,13693
1700,4,0,0,13694
1700,4.5,0,0,13695
1700,5,0,0,13696
1700,5.5,0,0,13697
1800,3.5,0,0,13698
1800,4,0,0,13699
1800,4.5,0,0,13700
1800,5,0,0,13701
1800,5.5,0,0,13702
1900,3.5,0,0,13703
1900,4,0,0,13704
1900,4.5,0,0,13705
1900,5,0,0,13706
1900,5.5,0,0,13707
2000,0,0,0,13708
2000,0.5,0,0,13709
2000,1,0,0,13710
2000,1.5,0,0,13711
2000,2,0,0,13712
2000,2.5,0,0,13713
2000,3,0,0,13714
2000,3.5,0,0,13715
2000,4,0,0,13716
2000,4.5,0,0,13717
2000,5,0,0,13718
2000,5.5,0,0,13719
2100,0,0,0,13720
2100,0.5,0,0,13721
2100,1,0,0,13722
2100,1.5,0,0,13723
2100,2,0,0,13724
2100,2.5,0,0,13725
2100,3,0,0,13726
2100,3.5,0,0,13727
2100,4,0,0,13728
2100,4.5,0,0,13729
2100,5,0,0,13730
2100,5.5,0,0,13731
2200,0,0,0,13732
2200,0.5,0,0,13733
2200,1,0,0,13734
2200,1.5,0,0,13735
2200,2,0,0,13736
2200,2.5,0,0,13737
2200,3,0,0,13738
2200,3.5,0,0,13739
2200,4,0,0,13740
2200,4.5,0,0,13741
2200,5,0,0,13742
2200,5.5,0,0,13743
2300,0,0,0,13744
2300,0.5,0,0,13745
2300,1,0,0,13746
2300,1.5,0,0,13747
2300,2,0,0,13748
2300,2.5,0,0,13749
2300,3,0,0,13750
2300,3.5,0,0,13751
2300,4,0,0,13752
2300,4.5,0,0,13753
2300,5,0,0,13754
2300,5.5,0,0,13755
2400,0,0,0,13756
2400,0.5,0,0,13757
2400,1,0,0,13758
2400,1.5,0,0,13759
2400,2,0,0,13760
2400,2.5,0,0,13761
2400,3,0,0,13762
2400,3.5,0,0,13763
2400,4,0,0,13764
2400,4.5,0,0,13765
2400,5,0,0,13766
2400,5.5,0,0,13767
2500,0,0,0,13768
2500,0.5,0,0,13769
2500,1,0,0,13770
2500,1.5,0,0,13771
2500,2,0,0,13772
2500,2.5,0,0,13773
2500,3,0,0,13774
2500,3.5,0,0,13775
2500,4,0,0,13776
2500,4.5,0,0,13777
2500,5,0,0,13778
2500,5.5,0,0,13779
2600,-0.5,-4,0.4,86
