teff,logg,mh,alpha,node
15000,1.75,-1,0,1
15000,1.75,-0.699,0,2
15000,1.75,-0.301,0,3
15000,1.75,0,0,5
15000,1.75,0.301,0,6
15000,2,-1,0,7
15000,2,-0.699,0,8
15000,2,-0.301,0,9
15000,2,0,0,11
15000,2,0.301,0,12
15000,2.25,-1,0,13
15000,2.25,-0.699,0,14
15000,2.25,-0.301,0,15
15000,2.25,0,0,17
15000,2.25,0.301,0,18
15000,2.5,-1,0,19
15000,2.5,-0.699,0,20
15000,2.5,-0.301,0,21
15000,2.5,0,0,23
15000,2.5,0.301,0,24
15000,2.75,-1,0,25
15000,2.75,-0.699,0,26
15000,2.75,-0.301,0,27
15000,2.75,0,0,29
15000,2.75,0.301,0,30
15000,3,-1,0,31
15000,3,-0.699,0,32
15000,3,-0.301,0,33
15000,3,0,0,35
15000,3,0.301,0,36
15000,3.25,-1,0,37
15000,3.25,-0.699,0,38
15000,3.25,-0.301,0,39
15000,3.25,0,0,41
15000,3.25,0.301,0,42
15000,3.5,-1,0,43
15000,3.5,-0.699,0,44
15000,3.5,-0.301,0,45
15000,3.5,0,0,47
15000,3.5,0.301,0,48
15000,3.75,-1,0,49
15000,3.75,-0.699,0,50
15000,3.75,-0.301,0,51
15000,3.75,0,0,53
15000,3.75,0.301,0,54
15000,4,-1,0,55
15000,4,-0.699,0,56
15000,4,-0.301,0,57
15000,4,0,0,59
15000,4,0.301,0,60
15000,4.25,-1,0,61
15000,4.25,-0.699,0,62
15000,4.25,-0.301,0,63
15000,4.25,0,0,65
15000,4.25,0.301,0,66
15000,4.5,-1,0,67
15000,4.5,-0.699,0,68
15000,4.5,-0.301,0,69
15000,4.5,0,0,71
15000,4.5,0.301,0,72
15000,4.75,-1,0,73
15000,4.75,-0.699,0,74
15000,4.75,-0.301,0,75
15000,4.75,0,0,77
15000,4.75,0.301,0,78
16000,2,-1,0,79
16000,2,-0.699,0,80
16000,2,-0.301,0,81
16000,2,0,0,83
16000,2,0.301,0,84
16000,2.25,-1,0,85
16000,2.25,-0.699,0,86
16000,2.25,-0.301,0,87
16000,2.25,0,0,89
16000,2.25,0.301,0,90
16000,2.5,-1,0,91
16000,2.5,-0.699,0,92
16000,2.5,-0.301,0,93
16000,2.5,0,0,95
16000,2.5,0.301,0,96
16000,2.75,-1,0,97
16000,2.75,-0.699,0,98
16000,2.75,-0.301,0,99
16000,2.75,0,0,101
16000,2.75,0.301,0,102
16000,3,-1,0,103
16000,3,-0.699,0,104
16000,3,-0.301,0,105
16000,3,0,0,107
16000,3,0.301,0,108
16000,3.25,-1,0,109
16000,3.25,-0.699,0,110
16000,3.25,-0.301,0,111
16000,3.25,0,0,113
16000,3.25,0.301,0,114
16000,3.5,-1,0,115
16000,3.5,-0.699,0,116
16000,3.5,-0.301,0,117
16000,3.5,0,0,119
16000,3.5,0.301,0,120
16000,3.75,-1,0,121
16000,3.75,-0.699,0,122
16000,3.75,-0.301,0,123
16000,3.75,0,0,125
16000,3.75,0.301,0,126
16000,4,-1,0,127
16000,4,-0.699,0,128
16000,4,-0.301,0,129
16000,4,0,0,131
16000,4,0.301,0,132
16000,4.25,-1,0,133
16000,4.25,-0.699,0,134
16000,4.25,-0.301,0,135
16000,4.25,0,0,137
16000,4.25,0.301,0,138
16000,4.5,-1,0,139
16000,4.5,-0.699,0,140
16000,4.5,-0.301,0,141
16000,4.5,0,0,143
16000,4.5,0.301,0,144
16000,4.75,-1,0,145
16000,4.75,-0.699,0,146
16000,4.75,-0.301,0,147
16000,4.75,0,0,149
16000,4.75,0.301,0,150
17000,2,-1,0,151
17000,2,-0.699,0,152
17000,2,-0.301,0,153
17000,2,0,0,155
17000,2,0.301,0,156
17000,2.25,-1,0,157
17000,2.25,-0.699,0,158
17000,2.25,-0.301,0,159
17000,2.25,0,0,161
17000,2.25,0.301,0,162
17000,2.5,-1,0,163
17000,2.5,-0.699,0,164
17000,2.5,-0.301,0,165
17000,2.5,0,0,167
17000,2.5,0.301,0,168
17000,2.75,-1,0,169
17000,2.75,-0.699,0,170
17000,2.75,-0.301,0,171
17000,2.75,0,0,173
17000,2.75,0.301,0,174
17000,3,-1,0,175
17000,3,-0.699,0,176
17000,3,-0.301,0,177
17000,3,0,0,179
17000,3,0.301,0,180
17000,3.25,-1,0,181
17000,3.25,-0.699,0,182
17000,3.25,-0.301,0,183
17000,3.25,0,0,185
17000,3.25,0.301,0,186
17000,3.5,-1,0,187
17000,3.5,-0.699,0,188
17000,3.5,-0.301,0,189
17000,3.5,0,0,191
17000,3.5,0.301,0,192
17000,3.75,-1,0,193
17000,3.75,-0.699,0,194
17000,3.75,-0.301,0,195
17000,3.75,0,0,197
17000,3.75,0.301,0,198
17000,4,-1,0,199
17000,4,-0.699,0,200
17000,4,-0.301,0,201
17000,4,0,0,203
17000,4,0.301,0,204
17000,4.25,-1,0,205
17000,4.25,-0.699,0,206
17000,4.25,-0.301,0,207
17000,4.25,0,0,209
17000,4.25,0.301,0,210
17000,4.5,-1,0,211
17000,4.5,-0.699,0,212
17000,4.5,-0.301,0,213
17000,4.5,0,0,215
17000,4.5,0.301,0,216
17000,4.75,-1,0,217
17000,4.75,-0.699,0,218
17000,4.75,-0.301,0,219
17000,4.75,0,0,221
17000,4.75,0.301,0,222
18000,2,-1,0,223
18000,2,-0.699,0,224
18000,2,-0.301,0,225
18000,2,0,0,227
18000,2,0.301,0,228
18000,2.25,-1,0,229
18000,2.25,-0.699,0,230
18000,2.25,-0.301,0,231
18000,2.25,0,0,233
18000,2.25,0.301,0,234
18000,2.5,-1,0,235
18000,2.5,-0.699,0,236
18000,2.5,-0.301,0,237
18000,2.5,0,0,239
18000,2.5,0.301,0,240
18000,2.75,-1,0,241
18000,2.75,-0.699,0,242
18000,2.75,-0.301,0,243
18000,2.75,0,0,245
18000,2.75,0.301,0,246
18000,3,-1,0,247
18000,3,-0.699,0,248
18000,3,-0.301,0,249
18000,3,0,0,251
18000,3,0.301,0,252
18000,3.25,-1,0,253
18000,3.25,-0.699,0,254
18000,3.25,-0.301,0,255
18000,3.25,0,0,257
18000,3.25,0.301,0,258
18000,3.5,-1,0,259
18000,3.5,-0.699,0,260
18000,3.5,-0.301,0,261
18000,3.5,0,0,263
18000,3.5,0.301,0,264
18000,3.75,-1,0,265
18000,3.75,-0.699,0,266
18000,3.75,-0.301,0,267
18000,3.75,0,0,269
18000,3.75,0.301,0,270
18000,4,-1,0,271
18000,4,-0.699,0,272
