# Ariel AIRS-CH0 passband
# Source: SVO Filter Profile Service (Ariel), provided by the user
# Added: 2026-07-28
# provenance: official
# unit: micron
# transmission: fraction
1.9580000000 0.2142635460
1.9670000000 0.2422800849
1.9750000000 0.2698395732
1.9840000000 0.2956787963
1.9930000000 0.3178493876
2.0010000000 0.3356323825
2.0100000000 0.3487766156
2.0180000000 0.3568444093
2.0270000000 0.3613534324
2.0360000000 0.3618410632
2.0440000000 0.3584883881
2.0530000000 0.3518738477
2.0610000000 0.3383531457
2.0700000000 0.3140574214
2.0790000000 0.2898337829
2.0870000000 0.3028053782
2.0960000000 0.3301589362
2.1050000000 0.3451676591
2.1130000000 0.3542380507
2.1220000000 0.3603377578
2.1300000000 0.3642769144
2.1390000000 0.3694399315
2.1480000000 0.3728018297
2.1560000000 0.3742461964
2.1650000000 0.3752821655
2.1730000000 0.3764320707
2.1820000000 0.3781150442
2.1910000000 0.3782643165
2.1990000000 0.3763814533
2.2080000000 0.3745948562
2.2160000000 0.3722730437
2.2250000000 0.3679945589
2.2340000000 0.3660233678
2.2420000000 0.3626593240
2.2510000000 0.3610177640
2.2590000000 0.3594759616
2.2680000000 0.3584557021
2.2770000000 0.3570181033
2.2850000000 0.3563049186
2.2940000000 0.3570071018
2.3030000000 0.3583247149
2.3110000000 0.3582712288
2.3200000000 0.3582139517
2.3280000000 0.3582714291
2.3370000000 0.3572770140
2.3460000000 0.3574787525
2.3540000000 0.3586360676
2.3630000000 0.3569617475
2.3710000000 0.3551699199
2.3800000000 0.3507368079
2.3890000000 0.3463953374
2.3970000000 0.3372062676
2.4060000000 0.3212179159
2.4140000000 0.2986696497
2.4230000000 0.2905639831
2.4320000000 0.3060766864
2.4400000000 0.3245115186
2.4490000000 0.3365734806
2.4570000000 0.3426797401
2.4660000000 0.3473892417
2.4750000000 0.3506935005
2.4830000000 0.3533360498
2.4920000000 0.3532289768
2.5010000000 0.3530338907
2.5090000000 0.3546035226
2.5180000000 0.3544177021
2.5260000000 0.3542793943
2.5350000000 0.3542804490
2.5440000000 0.3542738643
2.5520000000 0.3540417620
2.5610000000 0.3542099454
2.5690000000 0.3542602462
2.5780000000 0.3548877131
2.5870000000 0.3558464894
2.5950000000 0.3558970151
2.6040000000 0.3564844374
2.6120000000 0.3579275431
2.6210000000 0.3589130081
2.6300000000 0.3612917733
2.6380000000 0.3643551062
2.6470000000 0.3667132773
2.6550000000 0.3703333459
2.6640000000 0.3720912025
2.6730000000 0.3740344799
2.6810000000 0.3783181340
2.6900000000 0.3826125643
2.6980000000 0.3848364339
2.7070000000 0.3851747689
2.7160000000 0.3876561155
2.7240000000 0.3886994985
2.7330000000 0.3893930870
2.7420000000 0.3884086832
2.7500000000 0.3887631357
2.7590000000 0.3867084640
2.7670000000 0.3846532032
2.7760000000 0.3830336789
2.7850000000 0.3808530352
2.7930000000 0.3783344642
2.8020000000 0.3749829182
2.8100000000 0.3718100635
2.8190000000 0.3672400850
2.8280000000 0.3631947324
2.8360000000 0.3597035474
2.8450000000 0.3560285857
2.8530000000 0.3526153078
2.8620000000 0.3488070965
2.8710000000 0.3459392304
2.8790000000 0.3426833255
2.8880000000 0.3385905237
2.8960000000 0.3366687261
2.9050000000 0.3333614637
2.9140000000 0.3291628235
2.9220000000 0.3273658393
2.9310000000 0.3240487716
2.9400000000 0.3207768285
2.9480000000 0.3185222759
2.9570000000 0.3165622851
2.9650000000 0.3143399407
2.9740000000 0.3125250278
2.9830000000 0.3104370148
2.9910000000 0.3086879192
3.0000000000 0.3101689239
3.0080000000 0.3063493141
3.0170000000 0.3054491935
3.0260000000 0.3043032583
3.0340000000 0.3039922286
3.0430000000 0.3044247463
3.0510000000 0.3045678707
3.0600000000 0.3049258505
3.0690000000 0.3060874440
3.0770000000 0.3069143321
3.0860000000 0.3083488861
3.0940000000 0.3100244481
3.1030000000 0.3124302399
3.1120000000 0.3150925161
3.1200000000 0.3178690578
