# Ariel FGS1 passband
# Source: SVO Filter Profile Service (Ariel), provided by the user
# Added: 2026-07-28
# provenance: official
# unit: micron
# transmission: fraction
0.6070000000 0.2892623163
0.6150000000 0.2958243846
0.6240000000 0.3033089817
0.6320000000 0.3002531262
0.6410000000 0.3078450052
0.6500000000 0.3075735634
0.6580000000 0.3030521463
0.6670000000 0.3172393624
0.6750000000 0.3141442207
0.6840000000 0.2969641330
0.6930000000 0.3234862314
0.7010000000 0.3342748285
0.7100000000 0.3271957092
0.7190000000 0.2819870235
0.7270000000 0.3052869740
0.7360000000 0.3279361827
0.7440000000 0.3197438748
0.7530000000 0.2765025456
0.7620000000 0.3131042976
0.7700000000 0.3352727723
0.7790000000 0.3358636554
0.7870000000 0.3244070721
0.7960000000 0.2412660948
