# Ariel NIRSpec passband
# Source: SVO Filter Profile Service (Ariel), provided by the user
# Added: 2026-07-28
# provenance: official
# unit: micron
# transmission: fraction
1.1060000000 0.3307337585
1.1150000000 0.4047730860
1.1230000000 0.4007234362
1.1320000000 0.4026016096
1.1400000000 0.4029526391
1.1490000000 0.3979102873
1.1580000000 0.3930083914
1.1660000000 0.3900868177
1.1750000000 0.3870376323
1.1830000000 0.3827273586
1.1920000000 0.3790060198
1.2010000000 0.3792363251
1.2090000000 0.3850238456
1.2180000000 0.3927724278
1.2260000000 0.4006419038
1.2350000000 0.4067676820
1.2440000000 0.4113586293
1.2520000000 0.4136688915
1.2610000000 0.4154373465
1.2690000000 0.4176681153
1.2780000000 0.4225678716
1.2870000000 0.4289082175
1.2950000000 0.4360782035
1.3040000000 0.4432602493
1.3130000000 0.4489342981
1.3210000000 0.4524430877
1.3300000000 0.4543483720
1.3380000000 0.4560880093
1.3470000000 0.4558584445
1.3560000000 0.4544633296
1.3640000000 0.4528367662
1.3730000000 0.4527538902
1.3810000000 0.4505250925
1.3900000000 0.4481581886
1.3990000000 0.4469049473
1.4070000000 0.4462466551
1.4160000000 0.4478220680
1.4240000000 0.4514510383
1.4330000000 0.4554335669
1.4420000000 0.4595093817
1.4500000000 0.4630737672
1.4590000000 0.4657535077
1.4670000000 0.4681444814
1.4760000000 0.4711443549
1.4850000000 0.4729412354
1.4930000000 0.4737454483
1.5020000000 0.4731387810
1.5110000000 0.4711510006
1.5190000000 0.4684976684
1.5280000000 0.4644166247
1.5360000000 0.4592797718
1.5450000000 0.4533214715
1.5540000000 0.4498756997
1.5620000000 0.4499358582
1.5710000000 0.4526438648
1.5790000000 0.4567755975
1.5880000000 0.4610754295
1.5970000000 0.4642083257
1.6050000000 0.4672007120
1.6140000000 0.4689176827
1.6220000000 0.4694183283
1.6310000000 0.4697038800
1.6400000000 0.4702082336
1.6480000000 0.4685572386
1.6570000000 0.4668520163
1.6650000000 0.4638770578
1.6740000000 0.4608921371
1.6830000000 0.4574030814
1.6910000000 0.4532462670
1.7000000000 0.4468811680
1.7090000000 0.4406596056
1.7170000000 0.4350629435
1.7260000000 0.4288069767
1.7340000000 0.4225937540
1.7430000000 0.4193786386
1.7520000000 0.4177228512
1.7600000000 0.4164131997
1.7690000000 0.4171862572
1.7770000000 0.4190926153
1.7860000000 0.4214145339
1.7950000000 0.4226998872
1.8030000000 0.4239588205
1.8120000000 0.4249503740
1.8200000000 0.4250542455
1.8290000000 0.4239635177
1.8380000000 0.4212295471
1.8460000000 0.4178030252
1.8550000000 0.4145613275
1.8630000000 0.4098295194
1.8720000000 0.4001965401
1.8810000000 0.3906737146
1.8890000000 0.3801576979
1.8980000000 0.3657331520
1.9070000000 0.3473690703
1.9150000000 0.3274237651
1.9240000000 0.3039860564
1.9320000000 0.2788147296
1.9410000000 0.2504020240
