# MAUVE passband
# Derived from the MAUVE effective-area curve (Wavelength [nm], Effective area [cm2])
#   supplied by the user; normalised to unit peak. Only the spectral shape enters the
#   flux ratio, so the absolute collecting area cancels.
# Created: 2026-07-28
# provenance: official
# unit: nm
# transmission: fraction
181.8021 0.205304
182.1016 0.205915
182.4011 0.206527
182.7006 0.207138
183.0000 0.207750
183.2995 0.208361
183.5989 0.208973
183.8983 0.209584
184.1977 0.210195
184.4970 0.210807
184.7964 0.211418
185.0958 0.212010
185.3951 0.212560
185.6944 0.213109
185.9937 0.213659
186.2930 0.214209
186.5922 0.214759
186.8915 0.215309
187.1907 0.215859
187.4900 0.216408
187.7892 0.216958
188.0884 0.217508
188.3875 0.218058
188.6867 0.218607
188.9858 0.219157
189.2850 0.219706
189.5841 0.220256
189.8832 0.220806
190.1823 0.221424
190.4813 0.222101
190.7804 0.222779
191.0794 0.223457
191.3785 0.224137
191.6775 0.224818
191.9765 0.225500
192.2754 0.226183
192.5744 0.226867
192.8733 0.227552
193.1723 0.228238
193.4712 0.228925
193.7701 0.229613
194.0690 0.230301
194.3678 0.230987
194.6667 0.231675
194.9655 0.232363
195.2644 0.233012
195.5632 0.233657
195.8620 0.234303
196.1607 0.234946
196.4595 0.235587
196.7583 0.236229
197.0570 0.236871
197.3557 0.237514
197.6544 0.238159
197.9531 0.238804
198.2518 0.239450
198.5504 0.240098
198.8491 0.240747
199.1477 0.241287
199.4463 0.241714
199.7449 0.232015
200.0435 0.227182
200.3420 0.222524
200.6406 0.217838
200.9391 0.220617
201.2376 0.225235
201.5361 0.229876
201.8346 0.234541
202.1331 0.239227
202.4315 0.243934
202.7299 0.248665
203.0284 0.253084
203.3268 0.252981
203.6252 0.252875
203.9235 0.252766
204.2219 0.245620
204.5202 0.246500
204.8186 0.247382
205.1169 0.248484
205.4152 0.249704
205.7135 0.250930
206.0117 0.252159
206.3100 0.253380
206.6082 0.254605
206.9064 0.255835
207.2046 0.257070
207.5028 0.258309
207.8010 0.259554
208.0991 0.260796
208.3973 0.262031
208.6954 0.263270
208.9935 0.264514
209.2916 0.262877
209.5897 0.264100
209.8877 0.268211
210.1858 0.273036
210.4838 0.277895
210.7818 0.282791
211.0798 0.287390
211.3778 0.290536
211.6758 0.293703
211.9737 0.296891
212.2717 0.300087
212.5696 0.304340
212.8675 0.309448
213.1654 0.314566
213.4632 0.316357
213.7611 0.320620
214.0589 0.323143
214.3567 0.325561
214.6546 0.328029
214.9523 0.330503
215.2501 0.332983
215.5479 0.335470
215.8456 0.337962
216.1434 0.334612
216.4411 0.336408
216.7388 0.339455
217.0364 0.343232
217.3341 0.347103
217.6318 0.350973
217.9294 0.354757
218.2270 0.349676
218.5246 0.352184
218.8222 0.354699
